device_id,seq,timestamp_ms,arrival_time_ms,duplicate_flag,gap_flag,reading_count
42,0,906278041,1761842869401,0,0,0
42,1,906278041,1761842869402,0,0,2
42,2,906279042,1761842870403,0,0,3
42,3,906280043,1761842871403,0,0,1
42,4,906281044,1761842872405,0,0,3
42,5,906282045,1761842873405,0,0,2
42,6,906283047,1761842874407,0,0,1
42,7,906284047,1761842875408,0,0,2
42,8,906285048,1761842876408,0,0,3
42,9,906286059,1761842877419,0,0,3
42,10,906287061,1761842878421,0,0,3
42,11,906288062,1761842879422,0,0,3
42,12,906289062,1761842880423,0,0,3
42,13,906290064,1761842881424,0,0,2
42,14,906291064,1761842882425,0,0,3
42,15,906292065,1761842883425,0,0,3
42,16,906293066,1761842884426,0,0,3
42,17,906294066,1761842885426,0,0,3
42,18,906295067,1761842886427,0,0,1
42,19,906296068,1761842887429,0,0,2
42,20,906297069,1761842888429,0,0,1
42,21,906298070,1761842889430,0,0,2
42,22,906299071,1761842890431,0,0,3
42,23,906300072,1761842891432,0,0,2
42,24,906301073,1761842892433,0,0,1
42,25,906302074,1761842893434,0,0,2
42,26,906303075,1761842894435,0,0,3
42,27,906304076,1761842895436,0,0,3
42,28,906305077,1761842896437,0,0,2
42,29,906306078,1761842897438,0,0,2
42,30,906307079,1761842898439,0,0,3
42,31,906308080,1761842899440,0,0,3
42,32,906309080,1761842900441,0,0,2
42,33,906310081,1761842901441,0,0,1
42,34,906311082,1761842902443,0,0,1
42,35,906312084,1761842903444,0,0,3
42,36,906313085,1761842904445,0,0,3
42,37,906314087,1761842905447,0,0,3
42,38,906315088,1761842906448,0,0,2
42,39,906316089,1761842907449,0,0,3
42,40,906317090,1761842908450,0,0,1
42,41,906318091,1761842909451,0,0,3
42,42,906319092,1761842910452,0,0,3
42,43,906320093,1761842911453,0,0,3
42,44,906321094,1761842912454,0,0,2
42,45,906322095,1761842913455,0,0,3
42,46,906323095,1761842914455,0,0,1
42,47,906324096,1761842915456,0,0,2
42,48,906325097,1761842916457,0,0,2
42,49,906326098,1761842917458,0,0,1
42,50,906327099,1761842918459,0,0,3
42,51,906328099,1761842919460,0,0,3
42,52,906329101,1761842920461,0,0,1
42,53,906330101,1761842921461,0,0,3
42,54,906331103,1761842922463,0,0,1
42,55,906332103,1761842923464,0,0,2
42,56,906333104,1761842924464,0,0,2
42,57,906334105,1761842925465,0,0,2
42,58,906335106,1761842926466,0,0,3
42,59,906336107,1761842927467,0,0,2
42,60,906337109,1761842928469,0,0,2
42,61,906338109,1761842929470,0,0,0
