DeviceID,SeqNum,Timestamp,ArrivalTime,MsgType,Message,Delay
1001,0,1762302308,1762302308.8169785,0,,0.8169784545898438
1001,1,1762302308,1762302308.8176868,1,temp=24.82,0.8176867961883545
1001,2,1762302309,1762302309.8178751,1,temp=28.43,0.8178751468658447
1001,3,1762302310,1762302310.818598,1,temp=25.48,0.8185980319976807
1001,4,1762302311,1762302311.819179,1,temp=24.61,0.8191790580749512
1001,5,1762302312,1762302312.8198786,1,temp=24.75,0.8198785781860352
1001,6,1762302313,1762302313.8208039,1,temp=22.37,0.8208038806915283
1001,7,1762302314,1762302314.82178,1,temp=20.26,0.8217799663543701
1001,8,1762302315,1762302315.82276,1,temp=26.62,0.8227601051330566
1001,9,1762302316,1762302316.8235934,1,temp=21.31,0.8235933780670166
1001,10,1762302317,1762302317.824142,1,temp=24.16,0.8241419792175293
1001,11,1762302318,1762302318.8245826,1,temp=22.78,0.824582576751709
1001,12,1762302319,1762302319.8256814,1,temp=20.38,0.8256814479827881
1001,13,1762302320,1762302320.8264186,1,temp=24.36,0.8264186382293701
1001,14,1762302321,1762302321.8271015,1,temp=21.75,0.827101469039917
1001,15,1762302322,1762302322.82794,1,temp=25.48,0.8279399871826172
1001,16,1762302323,1762302323.8288586,1,temp=26.72,0.8288586139678955
1001,17,1762302324,1762302324.8312206,1,temp=20.02,0.8312206268310547
1001,18,1762302325,1762302325.832305,1,temp=25.27,0.8323049545288086
1001,19,1762302326,1762302326.8330564,1,temp=29.04,0.8330564498901367
1001,20,1762302327,1762302327.833814,1,temp=28.13,0.8338139057159424
1001,21,1762302328,1762302328.8346355,1,temp=27.39,0.8346354961395264
1001,22,1762302329,1762302329.836224,1,temp=21.4,0.8362240791320801
1001,23,1762302330,1762302330.8368893,1,temp=24.37,0.8368892669677734
1001,24,1762302331,1762302331.8371725,1,temp=29.35,0.8371725082397461
1001,25,1762302332,1762302332.8379211,1,temp=25.67,0.837921142578125
1001,26,1762302333,1762302333.8388717,1,temp=22.51,0.8388717174530029
1001,27,1762302334,1762302334.839616,1,temp=20.72,0.839616060256958
1001,28,1762302335,1762302335.8414905,1,temp=29.54,0.8414905071258545
1001,29,1762302336,1762302336.8420672,1,temp=20.81,0.8420672416687012
1001,30,1762302337,1762302337.843008,1,temp=27.96,0.8430080413818359
1001,0,1762307414,1762307414.2071214,0,,0.2071213722229004
1001,1,1762307414,1762307414.2074165,1,temp=22.82,0.20741653442382812
1001,2,1762307415,1762307415.2076445,1,temp=25.31,0.20764446258544922
1001,3,1762307416,1762307416.2083209,1,temp=28.59,0.20832085609436035
1001,4,1762307417,1762307417.2087753,1,temp=22.28,0.20877528190612793
1001,5,1762307418,1762307418.2098536,1,temp=22.98,0.2098536491394043
1001,6,1762307419,1762307419.2108645,1,temp=26.44,0.21086454391479492
1001,7,1762307420,1762307420.211393,1,temp=26.33,0.21139311790466309
1001,8,1762307421,1762307421.2121031,1,temp=27.92,0.21210312843322754
1001,9,1762307422,1762307422.2128515,1,temp=21.77,0.21285152435302734
1001,10,1762307423,1762307423.2141938,1,temp=26.6,0.21419382095336914
1001,11,1762307424,1762307424.2159135,1,temp=29.35,0.2159135341644287
1001,12,1762307425,1762307425.2169518,1,temp=26.25,0.21695184707641602
1001,13,1762307426,1762307426.217414,1,temp=27.73,0.21741390228271484
1001,14,1762307427,1762307427.2179875,1,temp=26.14,0.2179875373840332
1001,15,1762307428,1762307428.2184594,1,temp=28.61,0.2184593677520752
1001,16,1762307429,1762307429.218859,1,temp=21.8,0.21885895729064941
1001,17,1762307430,1762307430.2193124,1,temp=23.32,0.21931242942810059
1001,18,1762307431,1762307431.2205439,1,temp=29.17,0.22054386138916016
1001,19,1762307432,1762307432.2226138,1,temp=23.21,0.22261381149291992
1001,20,1762307433,1762307433.2241278,1,temp=25.9,0.22412776947021484
1001,21,1762307434,1762307434.2247016,1,temp=29.54,0.2247016429901123
1001,22,1762307435,1762307435.2252629,1,temp=29.34,0.22526288032531738
1001,23,1762307436,1762307436.2275665,1,temp=28.61,0.22756648063659668
1001,24,1762307437,1762307437.2281384,1,temp=26.46,0.22813844680786133
1001,25,1762307438,1762307438.2289245,1,temp=25.78,0.22892451286315918
1001,26,1762307439,1762307439.2292538,1,temp=27.33,0.22925376892089844
1001,27,1762307440,1762307440.2298124,1,temp=24.21,0.2298123836517334
1001,28,1762307441,1762307441.2300355,1,temp=20.83,0.23003554344177246
1001,29,1762307442,1762307442.2315588,1,temp=22.07,0.23155879974365234
1001,30,1762307443,1762307443.2310884,1,temp=27.92,0.23108839988708496
1001,31,1762307444,1762307444.2320795,1,temp=28.19,0.23207950592041016
1001,32,1762307445,1762307445.2322068,1,temp=21.08,0.2322068214416504
1001,33,1762307446,1762307446.2332213,1,temp=29.34,0.23322129249572754
1001,34,1762307447,1762307447.2334936,1,temp=24.74,0.23349356651306152
1001,35,1762307448,1762307448.23484,1,temp=20.21,0.23483991622924805
1001,36,1762307449,1762307449.2354805,1,temp=29.62,0.23548054695129395
1001,37,1762307450,1762307450.237895,1,temp=20.37,0.23789501190185547
1001,38,1762307451,1762307451.2393045,1,temp=29.15,0.2393045425415039
1001,39,1762307452,1762307452.2395637,1,temp=28.12,0.2395637035369873
1001,0,1762307990,1762307990.0513175,0,,0.051317453384399414
1001,1,1762307990,1762307990.0518954,1,temp=24.81,0.0518953800201416
1001,2,1762307991,1762307991.0523355,1,temp=28.41,0.052335500717163086
1001,3,1762307992,1762307992.05364,1,temp=24.09,0.053639888763427734
1001,4,1762307993,1762307993.0570624,1,temp=25.2,0.057062387466430664
1001,5,1762307994,1762307994.0583305,1,temp=23.24,0.058330535888671875
1001,6,1762307995,1762307995.0599465,1,temp=25.96,0.059946537017822266
1001,7,1762307996,1762307996.0607,1,temp=26.13,0.0606999397277832
1001,8,1762307997,1762307997.061973,1,temp=23.42,0.06197309494018555
1001,9,1762307998,1762307998.0619419,1,temp=28.62,0.06194186210632324
1001,10,1762307999,1762307999.0628037,1,temp=26.07,0.06280374526977539
1001,11,1762308000,1762308000.063263,1,temp=29.61,0.063262939453125
1001,12,1762308001,1762308001.0639467,1,temp=26.45,0.06394672393798828
1001,13,1762308002,1762308002.0647204,1,temp=25.62,0.06472039222717285
1001,14,1762308003,1762308003.0655904,1,temp=24.89,0.06559038162231445
1001,15,1762308004,1762308004.065934,1,temp=27.61,0.0659339427947998
1001,16,1762308005,1762308005.0665348,1,temp=22.66,0.06653475761413574
1001,17,1762308006,1762308006.0669615,1,temp=20.41,0.06696152687072754
1001,18,1762308007,1762308007.0692844,1,temp=22.83,0.06928443908691406
1001,19,1762308008,1762308008.0695875,1,temp=25.25,0.06958746910095215
1001,20,1762308009,1762308009.0701463,1,temp=27.06,0.07014632225036621
1001,21,1762308010,1762308010.0705714,1,temp=20.92,0.0705714225769043
1001,22,1762308011,1762308011.0720332,1,temp=26.36,0.07203316688537598
1001,23,1762308012,1762308012.0729022,1,temp=20.22,0.07290220260620117
1001,24,1762308013,1762308013.0740023,1,temp=26.5,0.07400226593017578
1001,25,1762308014,1762308014.0746102,1,temp=29.22,0.07461023330688477
1001,26,1762308015,1762308015.075416,1,temp=26.33,0.07541608810424805
1001,27,1762308016,1762308016.0761378,1,temp=21.4,0.07613778114318848
1001,28,1762308017,1762308017.0792243,1,temp=24.85,0.0792243480682373
1001,29,1762308018,1762308018.0797474,1,temp=22.37,0.07974743843078613
1001,30,1762308019,1762308019.0806675,1,temp=23.75,0.08066749572753906
1001,31,1762308020,1762308020.081344,1,temp=21.99,0.0813438892364502
1001,32,1762308021,1762308021.0821307,1,temp=24.46,0.08213067054748535
1001,33,1762308022,1762308022.0826197,1,temp=23.24,0.08261966705322266
1001,34,1762308023,1762308023.0836189,1,temp=27.93,0.0836188793182373
1001,35,1762308024,1762308024.084454,1,temp=21.61,0.08445405960083008
1001,36,1762308025,1762308025.085454,1,temp=29.82,0.08545398712158203
1001,37,1762308026,1762308026.0865884,1,temp=22.09,0.08658838272094727
1001,38,1762308027,1762308027.0873303,1,temp=27.41,0.08733034133911133
1001,39,1762308028,1762308028.0882678,1,temp=21.77,0.08826780319213867
1001,40,1762308029,1762308029.0890658,1,temp=25.98,0.0890657901763916
1001,41,1762308030,1762308030.090197,1,temp=25.55,0.09019708633422852
1001,42,1762308031,1762308031.0910468,1,temp=22.41,0.09104681015014648
1001,43,1762308032,1762308032.0921612,1,temp=26.9,0.09216117858886719
1001,44,1762308033,1762308033.0928414,1,temp=26.81,0.09284138679504395
1001,45,1762308034,1762308034.0934281,1,temp=24.03,0.09342813491821289
1001,46,1762308035,1762308035.0943968,1,temp=29.26,0.09439682960510254
1001,47,1762308036,1762308036.0960505,1,temp=22.72,0.09605050086975098
1001,48,1762308037,1762308037.097315,1,temp=21.91,0.09731507301330566
1001,49,1762308038,1762308038.098426,1,temp=25.83,0.09842610359191895
1001,50,1762308039,1762308039.0992346,1,temp=24.22,0.09923458099365234
1001,51,1762308040,1762308040.100649,1,temp=20.12,0.10064911842346191
1001,52,1762308041,1762308041.1018555,1,temp=23.31,0.10185551643371582
1001,53,1762308042,1762308042.1023586,1,temp=27.04,0.10235857963562012
1001,54,1762308043,1762308043.1037848,1,temp=26.94,0.10378479957580566
1001,55,1762308044,1762308044.1041682,1,temp=28.77,0.10416817665100098
1001,56,1762308045,1762308045.1063168,1,temp=27.96,0.10631680488586426
1001,57,1762308046,1762308046.1070385,1,temp=29.7,0.10703849792480469
1001,58,1762308047,1762308047.1076033,1,temp=26.88,0.10760331153869629
1001,59,1762308048,1762308048.10832,1,temp=20.01,0.10831999778747559
1001,60,1762308049,1762308049.1092577,1,temp=29.56,0.10925769805908203
1001,61,1762308050,1762308050.1100614,1,temp=21.1,0.1100614070892334
1001,62,1762308051,1762308051.1109166,1,temp=27.89,0.1109166145324707
1001,63,1762308052,1762308052.1116095,1,temp=27.92,0.11160945892333984
1001,64,1762308053,1762308053.1123753,1,temp=21.89,0.11237525939941406
1001,65,1762308054,1762308054.1130524,1,temp=25.22,0.1130523681640625
1001,66,1762308055,1762308055.1138759,1,temp=23.41,0.1138758659362793
1001,67,1762308056,1762308056.1141999,1,temp=24.78,0.11419987678527832
1001,68,1762308057,1762308057.1150453,1,temp=26.81,0.11504530906677246
1001,69,1762308058,1762308058.1179383,1,temp=25.3,0.11793828010559082
1001,70,1762308059,1762308059.1189556,1,temp=29.07,0.11895561218261719
1001,71,1762308060,1762308060.1195464,1,temp=20.33,0.11954641342163086
1001,72,1762308061,1762308061.1203802,1,temp=26.04,0.12038016319274902
1001,73,1762308062,1762308062.1217566,1,temp=23.51,0.12175655364990234
1001,74,1762308063,1762308063.122376,1,temp=26.72,0.1223759651184082
1001,75,1762308064,1762308064.1234632,1,temp=20.29,0.12346315383911133
1001,76,1762308065,1762308065.1241705,1,temp=28.26,0.12417054176330566
1001,77,1762308066,1762308066.1361303,1,temp=25.15,0.13613033294677734
1001,78,1762308067,1762308067.1365092,1,temp=20.41,0.13650918006896973
1001,79,1762308068,1762308068.1376326,1,temp=23.61,0.1376326084136963
1001,80,1762308069,1762308069.1409452,1,temp=21.49,0.1409451961517334
1001,81,1762308070,1762308070.1417284,1,temp=22.66,0.14172840118408203
1001,82,1762308071,1762308071.1428297,1,temp=21.77,0.14282965660095215
1001,83,1762308072,1762308072.1434474,1,temp=29.17,0.1434473991394043
1001,84,1762308073,1762308073.1447248,1,temp=23.39,0.14472484588623047
1001,85,1762308074,1762308074.146422,1,temp=24.61,0.1464219093322754
1001,86,1762308075,1762308075.1473844,1,temp=29.79,0.1473844051361084
1001,87,1762308076,1762308076.1479993,1,temp=27.54,0.14799928665161133
1001,88,1762308077,1762308077.1499276,1,temp=27.43,0.14992761611938477
1001,89,1762308078,1762308078.1506662,1,temp=22.78,0.1506662368774414
1001,90,1762308079,1762308079.1513057,1,temp=23.36,0.1513056755065918
1001,91,1762308080,1762308080.1519334,1,temp=22.88,0.1519334316253662
1001,92,1762308081,1762308081.153261,1,temp=22.5,0.1532609462738037
1001,93,1762308082,1762308082.1540253,1,temp=25.27,0.15402531623840332
1001,94,1762308083,1762308083.1554396,1,temp=21.6,0.1554396152496338
1001,95,1762308084,1762308084.1561205,1,temp=22.97,0.15612053871154785
1001,96,1762308085,1762308085.1573966,1,temp=24.37,0.15739655494689941
1001,97,1762308086,1762308086.1580467,1,temp=25.13,0.15804672241210938
1001,98,1762308087,1762308087.158905,1,temp=23.53,0.158905029296875
1001,99,1762308088,1762308088.1596255,1,temp=26.66,0.15962553024291992
1001,100,1762308089,1762308089.1608925,1,temp=28.19,0.16089248657226562
1001,101,1762308090,1762308090.1621833,1,temp=21.99,0.16218328475952148
1001,102,1762308091,1762308091.1628282,1,temp=20.5,0.1628282070159912
1001,103,1762308092,1762308092.1634436,1,temp=26.85,0.16344356536865234
1001,104,1762308093,1762308093.164416,1,temp=20.18,0.16441607475280762
1001,105,1762308094,1762308094.1659842,1,temp=29.43,0.1659841537475586
1001,106,1762308095,1762308095.1691797,1,temp=25.0,0.16917967796325684
1001,107,1762308096,1762308096.1708014,1,temp=26.31,0.17080140113830566
1001,108,1762308097,1762308097.2482197,1,temp=29.4,0.24821972846984863
1001,109,1762308098,1762308098.253616,1,temp=22.52,0.2536160945892334
1001,110,1762308099,1762308099.2564604,1,temp=24.62,0.25646042823791504
1001,111,1762308100,1762308100.2584336,1,temp=25.24,0.25843358039855957
1001,112,1762308101,1762308101.2594848,1,temp=25.48,0.25948476791381836
1001,113,1762308102,1762308102.2601757,1,temp=29.39,0.2601757049560547
1001,114,1762308103,1762308103.2608368,1,temp=27.97,0.2608368396759033
1001,115,1762308104,1762308104.264009,1,temp=23.16,0.2640089988708496
1001,116,1762308105,1762308105.265014,1,temp=29.72,0.2650139331817627
1001,117,1762308106,1762308106.2659316,1,temp=27.89,0.2659316062927246
1001,118,1762308107,1762308107.266884,1,temp=28.0,0.26688408851623535
1001,119,1762308108,1762308108.2674177,1,temp=22.53,0.26741766929626465
1001,120,1762308109,1762308109.2680779,1,temp=22.47,0.2680778503417969
1001,121,1762308110,1762308110.269191,1,temp=28.75,0.26919102668762207
1001,122,1762308111,1762308111.2695343,1,temp=21.25,0.2695343494415283
1001,123,1762308112,1762308112.2700493,1,temp=29.68,0.2700493335723877
1001,124,1762308113,1762308113.2707667,1,temp=25.41,0.2707667350769043
1001,125,1762308114,1762308114.271185,1,temp=22.86,0.27118492126464844
1001,126,1762308115,1762308115.2717783,1,temp=25.91,0.2717783451080322
1001,127,1762308116,1762308116.2723806,1,temp=22.99,0.2723805904388428
1001,128,1762308117,1762308117.2735863,1,temp=26.01,0.2735862731933594
1001,129,1762308118,1762308118.2740014,1,temp=26.44,0.2740013599395752
1001,130,1762308119,1762308119.2746692,1,temp=20.39,0.27466917037963867
1001,131,1762308120,1762308120.2780647,1,temp=26.22,0.2780647277832031
1001,132,1762308121,1762308121.2788093,1,temp=23.74,0.2788093090057373
1001,133,1762308122,1762308122.280237,1,temp=28.67,0.28023695945739746
1001,134,1762308123,1762308123.2818913,1,temp=20.04,0.2818913459777832
1001,135,1762308124,1762308124.2830951,1,temp=22.11,0.283095121383667
1001,136,1762308125,1762308125.2835662,1,temp=23.38,0.2835662364959717
1001,137,1762308126,1762308126.2845705,1,temp=22.61,0.28457045555114746
1001,138,1762308127,1762308127.2852912,1,temp=24.74,0.2852911949157715
1001,139,1762308128,1762308128.2881188,1,temp=21.04,0.288118839263916
1001,140,1762308129,1762308129.2913976,1,temp=23.49,0.2913975715637207
1001,141,1762308130,1762308130.2924109,1,temp=28.96,0.29241085052490234
1001,142,1762308131,1762308131.31059,1,temp=22.68,0.3105900287628174
1001,143,1762308132,1762308132.3111956,1,temp=24.83,0.31119561195373535
1001,144,1762308133,1762308133.311932,1,temp=21.64,0.3119320869445801
1001,145,1762308134,1762308134.3124342,1,temp=21.74,0.31243419647216797
1001,146,1762308135,1762308135.313461,1,temp=24.75,0.3134610652923584
1001,147,1762308136,1762308136.3147073,1,temp=26.5,0.31470727920532227
1001,148,1762308137,1762308137.31522,1,temp=20.79,0.3152201175689697
1001,149,1762308138,1762308138.3159976,1,temp=27.35,0.3159976005554199
1001,150,1762308139,1762308139.3165007,1,temp=20.85,0.3165006637573242
1001,151,1762308140,1762308140.3176122,1,temp=27.28,0.3176121711730957
1001,152,1762308141,1762308141.3180513,1,temp=26.25,0.3180513381958008
1001,153,1762308142,1762308142.3185883,1,temp=23.46,0.3185882568359375
1001,154,1762308143,1762308143.3194876,1,temp=28.37,0.3194875717163086
1001,155,1762308144,1762308144.3204606,1,temp=27.76,0.32046055793762207
1001,156,1762308145,1762308145.321112,1,temp=23.12,0.32111191749572754
1001,157,1762308146,1762308146.3235638,1,temp=28.13,0.323563814163208
1001,158,1762308147,1762308147.325335,1,temp=27.92,0.3253350257873535
1001,159,1762308148,1762308148.3263185,1,temp=26.71,0.32631850242614746
1001,160,1762308149,1762308149.3275337,1,temp=27.26,0.3275337219238281
1001,161,1762308150,1762308150.3285334,1,temp=21.14,0.328533411026001
1001,162,1762308151,1762308151.3291926,1,temp=27.68,0.3291926383972168
1001,163,1762308152,1762308152.3303995,1,temp=23.38,0.3303995132446289
1001,164,1762308153,1762308153.3311155,1,temp=23.31,0.3311154842376709
1001,165,1762308154,1762308154.3317292,1,temp=28.51,0.3317291736602783
1001,166,1762308155,1762308155.3326132,1,temp=20.95,0.3326132297515869
1001,167,1762308156,1762308156.3345742,1,temp=21.1,0.33457422256469727
1001,168,1762308157,1762308157.335533,1,temp=24.19,0.33553290367126465
1001,169,1762308158,1762308158.3361018,1,temp=20.6,0.336101770401001
1001,170,1762308159,1762308159.3395414,1,temp=22.21,0.3395414352416992
1001,171,1762308160,1762308160.3400686,1,temp=25.43,0.3400685787200928
1001,172,1762308161,1762308161.3409715,1,temp=22.97,0.3409714698791504
1001,173,1762308162,1762308162.3428626,1,temp=23.96,0.342862606048584
1001,174,1762308163,1762308163.3450775,1,temp=23.7,0.3450775146484375
1001,175,1762308164,1762308164.3518236,1,temp=29.38,0.3518235683441162
1001,176,1762308165,1762308165.3556063,1,temp=20.68,0.3556063175201416
1001,177,1762308166,1762308166.3562615,1,temp=26.48,0.3562614917755127
1001,178,1762308167,1762308167.3575356,1,temp=27.27,0.35753560066223145
1001,179,1762308168,1762308168.3581958,1,temp=22.45,0.35819578170776367
1001,180,1762308169,1762308169.3587594,1,temp=29.99,0.35875940322875977
1001,181,1762308170,1762308170.3594613,1,temp=28.97,0.35946130752563477
1001,182,1762308171,1762308171.3602684,1,temp=23.3,0.36026835441589355
1001,183,1762308172,1762308172.364024,1,temp=23.45,0.36402392387390137
1001,184,1762308173,1762308173.3655987,1,temp=26.82,0.3655986785888672
1001,185,1762308174,1762308174.3666756,1,temp=23.67,0.36667561531066895
1001,186,1762308175,1762308175.3675132,1,temp=22.47,0.36751317977905273
1001,187,1762308176,1762308176.369103,1,temp=25.46,0.36910295486450195
1001,188,1762308177,1762308177.3703842,1,temp=22.18,0.37038421630859375
1001,189,1762308178,1762308178.370998,1,temp=22.93,0.37099790573120117
1001,190,1762308179,1762308179.3714983,1,temp=25.16,0.37149834632873535
1001,191,1762308180,1762308180.3743758,1,temp=29.92,0.3743758201599121
1001,192,1762308181,1762308181.3755608,1,temp=27.69,0.3755607604980469
1001,193,1762308182,1762308182.3761134,1,temp=25.08,0.3761134147644043
1001,194,1762308183,1762308183.3766317,1,temp=28.31,0.3766317367553711
1001,195,1762308184,1762308184.3793833,1,temp=29.94,0.3793833255767822
1001,196,1762308185,1762308185.3801913,1,temp=25.49,0.3801913261413574
1001,197,1762308186,1762308186.3807087,1,temp=21.56,0.3807086944580078
1001,198,1762308187,1762308187.381759,1,temp=21.61,0.3817589282989502
1001,199,1762308188,1762308188.382584,1,temp=27.05,0.3825840950012207
1001,200,1762308189,1762308189.3839288,1,temp=25.64,0.3839287757873535
1001,201,1762308190,1762308190.3847854,1,temp=27.12,0.38478541374206543
1001,202,1762308191,1762308191.385293,1,temp=29.07,0.38529300689697266
1001,203,1762308192,1762308192.385957,1,temp=24.38,0.3859570026397705
1001,204,1762308193,1762308193.3866863,1,temp=21.89,0.3866863250732422
1001,205,1762308194,1762308194.3899975,1,temp=28.68,0.3899974822998047
1001,206,1762308195,1762308195.392882,1,temp=24.45,0.3928821086883545
1001,207,1762308196,1762308196.3941247,1,temp=27.12,0.39412474632263184
1001,208,1762308197,1762308197.395415,1,temp=28.1,0.3954150676727295
1001,209,1762308198,1762308198.396038,1,temp=28.71,0.3960380554199219
1001,210,1762308199,1762308199.3970578,1,temp=22.49,0.39705777168273926
1001,211,1762308200,1762308200.3976204,1,temp=22.62,0.39762043952941895
1001,212,1762308201,1762308201.3996162,1,temp=22.3,0.3996162414550781
1001,213,1762308202,1762308202.400345,1,temp=22.61,0.4003450870513916
1001,214,1762308203,1762308203.4011672,1,temp=29.41,0.4011671543121338
1001,215,1762308204,1762308204.4029217,1,temp=27.21,0.4029216766357422
1001,216,1762308205,1762308205.4040985,1,temp=21.9,0.4040985107421875
1001,217,1762308206,1762308206.4052815,1,temp=25.16,0.40528154373168945
1001,218,1762308207,1762308207.406869,1,temp=22.03,0.40686893463134766
1001,219,1762308208,1762308208.4075754,1,temp=20.04,0.4075753688812256
1001,220,1762308209,1762308209.4082305,1,temp=20.29,0.4082305431365967
1001,221,1762308210,1762308210.4108996,1,temp=20.66,0.41089963912963867
1001,222,1762308211,1762308211.4116812,1,temp=23.68,0.4116811752319336
1001,223,1762308212,1762308212.412478,1,temp=24.93,0.412477970123291
1001,224,1762308213,1762308213.4130728,1,temp=20.86,0.4130728244781494
1001,225,1762308214,1762308214.413871,1,temp=24.92,0.41387104988098145
1001,226,1762308215,1762308215.4146206,1,temp=23.24,0.41462063789367676
1001,227,1762308216,1762308216.4151547,1,temp=29.21,0.41515469551086426
1001,228,1762308217,1762308217.4160717,1,temp=29.21,0.41607165336608887
1001,229,1762308218,1762308218.4169974,1,temp=29.09,0.41699743270874023
1001,230,1762308219,1762308219.418186,1,temp=23.17,0.4181859493255615
1001,231,1762308220,1762308220.418971,1,temp=28.39,0.41897106170654297
1001,232,1762308221,1762308221.4196014,1,temp=24.2,0.4196014404296875
1001,233,1762308222,1762308222.4200964,1,temp=22.53,0.42009639739990234
1001,234,1762308223,1762308223.4210427,1,temp=25.51,0.42104268074035645
1001,235,1762308224,1762308224.4219944,1,temp=23.88,0.4219944477081299
1001,236,1762308225,1762308225.4246762,1,temp=24.81,0.42467617988586426
1001,237,1762308226,1762308226.4276698,1,temp=25.25,0.4276697635650635
1001,238,1762308227,1762308227.4331133,1,temp=29.08,0.43311333656311035
1001,239,1762308228,1762308228.4335694,1,temp=28.08,0.43356943130493164
1001,240,1762308229,1762308229.435072,1,temp=22.87,0.4350719451904297
1001,241,1762308230,1762308230.4366496,1,temp=27.96,0.4366495609283447
1001,242,1762308231,1762308231.4379742,1,temp=27.85,0.437974214553833
1001,243,1762308232,1762308232.4386632,1,temp=24.92,0.4386632442474365
1001,244,1762308233,1762308233.4391747,1,temp=26.33,0.4391746520996094
1001,245,1762308234,1762308234.4401822,1,temp=29.58,0.4401822090148926
1001,246,1762308235,1762308235.4407566,1,temp=21.01,0.44075655937194824
1001,247,1762308236,1762308236.4413834,1,temp=29.4,0.44138336181640625
1001,248,1762308237,1762308237.4422941,1,temp=28.98,0.4422941207885742
1001,249,1762308238,1762308238.4431438,1,temp=28.57,0.4431438446044922
1001,250,1762308239,1762308239.443947,1,temp=21.74,0.44394707679748535
1001,251,1762308240,1762308240.444704,1,temp=28.5,0.4447040557861328
1001,252,1762308241,1762308241.445435,1,temp=20.62,0.4454350471496582
1001,253,1762308242,1762308242.4462988,1,temp=28.06,0.44629883766174316
1001,254,1762308243,1762308243.4480631,1,temp=21.12,0.4480631351470947
1001,255,1762308244,1762308244.4486935,1,temp=25.12,0.44869351387023926
1001,256,1762308245,1762308245.4495904,1,temp=22.37,0.44959044456481934
1001,257,1762308246,1762308246.4506094,1,temp=28.09,0.4506094455718994
1001,258,1762308247,1762308247.451033,1,temp=21.04,0.4510331153869629
