device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,payload_size,is_batch,mode
1011,0,4129120442,1765065711802,0,0,0,0,unknown
1011,2,4129120442,1765065711802,0,0,28,1,unknown
1011,3,4129121442,1765065712803,0,0,29,1,unknown
1011,4,4129122443,1765065713803,0,0,29,1,unknown
1011,5,4129123443,1765065714803,0,0,28,1,unknown
1011,6,4129124444,1765065715804,0,0,28,1,unknown
1011,7,4129125459,1765065716819,0,0,28,1,unknown
1011,9,4129126460,1765065717820,0,0,29,1,unknown
1011,10,4129127479,1765065718839,0,0,27,1,unknown
1011,11,4129128495,1765065719856,0,0,28,1,unknown
1011,12,4129129508,1765065720869,0,0,29,1,unknown
1011,13,4129130511,1765065721872,0,0,27,1,unknown
1011,14,4129131519,1765065722880,0,0,28,1,unknown
1011,16,4129132521,1765065723882,0,0,28,1,unknown
1011,17,4129133525,1765065724886,0,0,29,1,unknown
1011,18,4129134527,1765065725888,0,0,29,1,unknown
1011,19,4129135529,1765065726889,0,0,28,1,unknown
1011,20,4129136529,1765065727889,0,0,28,1,unknown
1011,21,4129137530,1765065728890,0,0,29,1,unknown
1011,23,4129138530,1765065729891,0,0,29,1,unknown
1011,24,4129139531,1765065730891,0,0,27,1,unknown
1011,25,4129140531,1765065731891,0,0,29,1,unknown
1011,26,4129141532,1765065732892,0,0,29,1,unknown
1011,27,4129142532,1765065733892,0,0,29,1,unknown
1011,28,4129143532,1765065734893,0,0,29,1,unknown
1011,30,4129144533,1765065735893,0,0,29,1,unknown
1011,31,4129145533,1765065736894,0,0,29,1,unknown
1011,32,4129146534,1765065737894,0,0,29,1,unknown
1011,33,4129147534,1765065738894,0,0,28,1,unknown
1011,34,4129148534,1765065739895,0,0,29,1,unknown
1011,35,4129149535,1765065740895,0,0,29,1,unknown
1011,37,4129150535,1765065741895,0,0,29,1,unknown
1011,38,4129151536,1765065742896,0,0,27,1,unknown
1011,39,4129152537,1765065743897,0,0,29,1,unknown
1011,40,4129153538,1765065744898,0,0,28,1,unknown
1011,41,4129154538,1765065745899,0,0,29,1,unknown
1011,42,4129155539,1765065746899,0,0,29,1,unknown
1011,44,4129156539,1765065747900,0,0,29,1,unknown
1011,45,4129157540,1765065748900,0,0,29,1,unknown
1011,46,4129158554,1765065749914,0,0,29,1,unknown
1011,47,4129159576,1765065750936,0,0,28,1,unknown
1011,48,4129160596,1765065751956,0,0,29,1,unknown
1011,49,4129161612,1765065752972,0,0,28,1,unknown
1011,51,4129162619,1765065753980,0,0,28,1,unknown
1011,52,4129163630,1765065754990,0,0,29,1,unknown
1011,53,4129164638,1765065755998,0,0,29,1,unknown
1011,54,4129165644,1765065757004,0,0,28,1,unknown
1011,55,4129166646,1765065758007,0,0,29,1,unknown
1011,56,4129167649,1765065759009,0,0,28,1,unknown
1011,58,4129168651,1765065760011,0,0,29,1,unknown
1011,59,4129169651,1765065761012,0,0,28,1,unknown
1011,60,4129170652,1765065762012,0,0,29,1,unknown
1011,61,4129171652,1765065763013,0,0,29,1,unknown
1011,62,4129172653,1765065764013,0,0,29,1,unknown
1011,63,4129173653,1765065765014,0,0,28,1,unknown
1011,65,4129174654,1765065766014,0,0,29,1,unknown
1011,66,4129175655,1765065767015,0,0,28,1,unknown
1011,67,4129176655,1765065768015,0,0,28,1,unknown
1011,68,4129177656,1765065769016,0,0,29,1,unknown
1011,69,4129178656,1765065770017,0,0,29,1,unknown
1011,70,4129179657,1765065771018,0,0,26,1,unknown
1011,72,4129180658,1765065772018,0,0,28,1,unknown
1011,73,4129181658,1765065773018,0,0,27,1,unknown
